TRACT,ZIP_CODE
022005,30002
022100,30002
023000,30002
023102,30002
023113,30002
090502,30004
090802,30004
130304,30004
130305,30004
130601,30004
130602,30004
130603,30004
011416,30004
011503,30004
011504,30004
011505,30004
011610,30004
011614,30004
011615,30004
011616,30004
130602,30005
130603,30005
130604,30005
130606,30005
011618,30005
011619,30005
011620,30005
011621,30005
011624,30005
011626,30005
030902,30008
030904,30008
030905,30008
031002,30008
031005,30008
031106,30008
031405,30008
031406,30008
031507,30008
011421,30009
011503,30009
011610,30009
011611,30009
011614,30009
011615,30009
011616,30009
180103,30011
180104,30011
180105,30011
180106,30011
180107,30011
180108,30011
050607,30011
050609,30011
050610,30011
023303,30012
060101,30012
060102,30012
060201,30012
060304,30012
060308,30012
060309,30012
110506,30012
100100,30013
100501,30013
100903,30013
060102,30013
060304,30013
060305,30013
060306,30013
060307,30013
060308,30013
060404,30013
060406,30013
060407,30013
010200,30014
100100,30014
100201,30014
100202,30014
100300,30014
100400,30014
100501,30014
100502,30014
100600,30014
100700,30014
100800,30014
110602,30014
100501,30016
100502,30016
100600,30016
100700,30016
100800,30016
100901,30016
100902,30016
100903,30016
060407,30016
050720,30017
050721,30017
050724,30017
050727,30017
050605,30019
050607,30019
050608,30019
050609,30019
050610,30019
110100,30019
021805,30021
022001,30021
022004,30021
022005,30021
022007,30021
022008,30021
022009,30021
022010,30021
022100,30021
011410,30022
011412,30022
011414,30022
011424,30022
011425,30022
011426,30022
011427,30022
011611,30022
011612,30022
011613,30022
011617,30022
011618,30022
011619,30022
011620,30022
011621,30022
011623,30022
011625,30022
130606,30024
130608,30024
130609,30024
130610,30024
130611,30024
130612,30024
011622,30024
050108,30024
050109,30024
050208,30024
050210,30024
050212,30024
050213,30024
050214,30024
050216,30024
050525,30024
050529,30024
050530,30024
050549,30024
100202,30025
110200,30025
110700,30025
110800,30025
090501,30028
130101,30028
130201,30028
130202,30028
130203,30028
130204,30028
130205,30028
130301,30028
130303,30028
130403,30028
022203,30030
022301,30030
022403,30030
022500,30030
022600,30030
022700,30030
022800,30030
022900,30030
023000,30030
020802,30032
022005,30032
022900,30032
023101,30032
023102,30032
023107,30032
023108,30032
023112,30032
023113,30032
023114,30032
023115,30032
023501,30032
023504,30032
023505,30032
023506,30032
023601,30032
023602,30032
023603,30032
023700,30032
021504,30033
021602,30033
021603,30033
021604,30033
021703,30033
021704,30033
022001,30033
022203,30033
022204,30033
022301,30033
022302,30033
022402,30033
022600,30033
023410,30034
023411,30034
023412,30034
023413,30034
023414,30034
023421,30034
023422,30034
023423,30034
023424,30034
023425,30034
023426,30034
023803,30034
023108,30035
023111,30035
023206,30035
023211,30035
023212,30035
023213,30035
023214,30035
023506,30035
023507,30035
023416,30038
023418,30038
023426,30038
023427,30038
023428,30038
023315,30039
050709,30039
050714,30039
050715,30039
050719,30039
050722,30039
050723,30039
050725,30039
050728,30039
050729,30039
090501,30040
090502,30040
130202,30040
130203,30040
130205,30040
130301,30040
130302,30040
130304,30040
130305,30040
130306,30040
130307,30040
130403,30040
130404,30040
130405,30040
130406,30040
130408,30040
130409,30040
130410,30040
130509,30040
130601,30040
130603,30040
130101,30041
130102,30041
130103,30041
130105,30041
130204,30041
130205,30041
130503,30041
130504,30041
130505,30041
130506,30041
130507,30041
130508,30041
130509,30041
130510,30041
130603,30041
130604,30041
130605,30041
130606,30041
130607,30041
130609,30041
130612,30041
130613,30041
050208,30043
050511,30043
050523,30043
050525,30043
050527,30043
050528,30043
050529,30043
050530,30043
050538,30043
050540,30043
050547,30043
050548,30043
050549,30043
050605,30043
050607,30043
050427,30044
050436,30044
050524,30044
050526,30044
050531,30044
050532,30044
050533,30044
050534,30044
050535,30044
050536,30044
050537,30044
050539,30044
050541,30044
050542,30044
050544,30044
050712,30044
050713,30044
050718,30044
050543,30045
050544,30045
050545,30045
050546,30045
050548,30045
050608,30045
050720,30045
050724,30045
050726,30045
050727,30045
050520,30046
050521,30046
050522,30046
050523,30046
050536,30046
050543,30046
050544,30046
050545,30046
050546,30046
050548,30046
050727,30046
050410,30047
050415,30047
050422,30047
050423,30047
050424,30047
050425,30047
050426,30047
050427,30047
050428,30047
050429,30047
050430,30047
050431,30047
050432,30047
050435,30047
050436,30047
050712,30047
050714,30047
050715,30047
050729,30047
050721,30052
050724,30052
050726,30052
050727,30052
050728,30052
050730,30052
050731,30052
100100,30052
060102,30052
110503,30052
110504,30052
110505,30052
110506,30052
110507,30052
110508,30052
110601,30052
110603,30052
100100,30054
100400,30054
110602,30054
110603,30054
010200,30055
010200,30055
100201,30055
100202,30055
010100,30056
010200,30056
010500,30056
100201,30056
100202,30056
023212,30058
023303,30058
023306,30058
023309,30058
023310,30058
023311,30058
023312,30058
023313,30058
023314,30058
023315,30058
023316,30058
060101,30058
030412,30060
030601,30060
030602,30060
030700,30060
030800,30060
030902,30060
031001,30060
031002,30060
031004,30060
031005,30060
031106,30060
031113,30060
031115,30060
030314,30062
030322,30062
030327,30062
030328,30062
030329,30062
030330,30062
030331,30062
030332,30062
030333,30062
030334,30062
030335,30062
030336,30062
030342,30062
030343,30062
030405,30062
030410,30062
030502,30062
030504,30062
030505,30062
030506,30062
030601,30062
030602,30062
030700,30062
030209,30064
030230,30064
030231,30064
030232,30064
030233,30064
030235,30064
030239,30064
030602,30064
030901,30064
030902,30064
030904,30064
030905,30064
031405,30064
031503,30064
031507,30064
030228,30066
030310,30066
030311,30066
030312,30066
030313,30066
030314,30066
030322,30066
030324,30066
030326,30066
030340,30066
030341,30066
030502,30066
030506,30066
030507,30066
030601,30066
030318,30067
030320,30067
030344,30067
030345,30067
030405,30067
030407,30067
030408,30067
030411,30067
030412,30067
030413,30067
030414,30067
030319,30068
030333,30068
030334,30068
030336,30068
030337,30068
030405,30068
030407,30068
030409,30068
030410,30068
100600,30070
050304,30071
050306,30071
050309,30071
050311,30071
050313,30071
050314,30071
050319,30071
050320,30071
021909,30072
090902,30075
030326,30075
030328,30075
030335,30075
030342,30075
030343,30075
011405,30075
011417,30075
011418,30075
011419,30075
011422,30075
011423,30075
011503,30075
011505,30075
011506,30075
011405,30076
011410,30076
011411,30076
011412,30076
011416,30076
011417,30076
011420,30076
011421,30076
011427,30076
011611,30076
050713,30078
050715,30078
050718,30078
050719,30078
050720,30078
050721,30078
050725,30078
050728,30078
050730,30078
022001,30079
022100,30079
022203,30079
022204,30079
030345,30080
031001,30080
031004,30080
031101,30080
031108,30080
031110,30080
031111,30080
031112,30080
031113,30080
031114,30080
031116,30080
031118,30080
031205,30080
031206,30080
031208,30080
031209,30080
031004,30082
031106,30082
031115,30082
031116,30082
031117,30082
031118,30082
031205,30082
031206,30082
031307,30082
021805,30083
021806,30083
021906,30083
021907,30083
021908,30083
021909,30083
021910,30083
021911,30083
021913,30083
022004,30083
022005,30083
022008,30083
023111,30083
023113,30083
023114,30083
023204,30083
023206,30083
021703,30084
021704,30084
021805,30084
021806,30084
021809,30084
021810,30084
021812,30084
021814,30084
021910,30084
022001,30084
050418,30084
050431,30084
050432,30084
050433,30084
050434,30084
021806,30087
021907,30087
021912,30087
023306,30087
023311,30087
023312,30087
023316,30087
050415,30087
050416,30087
050426,30087
050429,30087
050430,30087
050431,30087
021906,30088
021907,30088
023204,30088
023206,30088
023208,30088
023209,30088
023210,30088
023211,30088
023212,30088
023312,30088
023314,30088
010108,30092
050304,30092
050308,30092
050309,30092
050310,30092
050315,30092
050317,30092
050318,30092
050321,30092
050322,30092
050417,30093
050418,30093
050419,30093
050421,30093
050422,30093
050423,30093
050424,30093
050431,30093
050432,30093
050434,30093
023418,30094
060201,30094
060202,30094
060304,30094
060403,30094
060404,30094
060405,30094
060406,30094
060407,30094
050205,30096
050209,30096
050211,30096
050214,30096
050215,30096
050217,30096
050218,30096
050219,30096
050220,30096
050309,30096
050313,30096
050314,30096
050511,30096
050526,30096
050537,30096
050541,30096
050542,30096
130608,30097
130610,30097
011612,30097
011622,30097
011623,30097
011625,30097
011626,30097
050212,30097
050214,30097
050215,30097
050216,30097
050217,30097
050308,30097
050309,30097
960802,30101
960803,30101
091103,30101
030101,30101
030103,30101
030104,30101
030106,30101
030107,30101
030219,30101
030226,30101
030236,30101
030238,30101
030239,30101
120101,30101
120103,30101
960801,30102
960802,30102
091003,30102
091101,30102
091102,30102
091103,30102
030107,30102
030222,30102
030223,30102
030310,30102
960101,30103
960102,30103
960200,30103
960300,30103
000100,30103
970700,30103
970800,30103
970900,30103
961000,30104
001701,30104
001702,30104
010100,30104
010600,30104
010100,30105
000202,30105
031106,30106
031306,30106
031404,30106
031405,30106
031406,30106
031408,30106
031409,30106
080103,30106
090100,30107
090400,30107
090501,30107
130201,30107
050600,30107
910300,30108
910400,30108
911200,30108
970200,30108
910200,30110
910300,30110
010100,30110
010301,30110
010302,30110
010400,30110
010100,30113
010200,30113
010301,30113
010302,30113
010400,30113
090100,30114
090200,30114
090300,30114
090400,30114
090501,30114
090502,30114
090601,30114
090602,30114
090701,30114
090501,30115
090502,30115
090601,30115
090602,30115
090702,30115
090802,30115
090803,30115
090804,30115
910103,30116
910200,30116
910600,30116
910701,30116
910702,30116
910703,30116
910800,30116
910900,30116
911000,30116
910200,30117
910300,30117
910400,30117
910501,30117
910502,30117
910600,30117
910701,30117
910703,30117
910900,30117
911000,30117
911100,30117
911200,30117
910501,30118
960300,30120
960401,30120
960402,30120
960500,30120
960600,30120
960700,30120
960803,30120
960901,30120
960902,30120
961000,30120
960102,30121
960200,30121
960401,30121
960402,30121
960500,30121
960700,30121
960801,30121
960802,30121
960803,30121
080102,30122
080103,30122
080201,30122
080202,30122
080602,30122
002000,30124
001701,30125
010100,30125
010200,30125
010300,30125
010400,30125
010500,30125
010600,30125
031106,30126
031205,30126
031306,30126
031307,30126
031308,30126
031309,30126
031311,30126
031312,30126
031313,30126
031404,30126
030209,30127
030232,30127
030234,30127
030235,30127
030238,30127
030239,30127
031405,30127
031408,30127
031409,30127
031503,30127
031505,30127
031506,30127
031507,30127
031508,30127
031509,30127
120601,30127
120603,30127
120604,30127
120101,30132
120102,30132
120103,30132
120104,30132
120204,30132
120301,30132
120302,30132
120400,30132
080201,30134
080301,30134
080303,30134
080304,30134
080403,30134
080404,30134
080505,30134
120503,30134
120601,30134
120602,30134
120604,30134
120605,30134
080202,30135
080402,30135
080505,30135
080506,30135
080507,30135
080508,30135
080509,30135
080510,30135
080511,30135
080602,30135
080603,30135
080604,30135
960803,30137
960101,30139
970100,30139
970900,30139
050400,30139
031509,30141
120202,30141
120302,30141
120501,30141
120502,30141
120503,30141
120603,30141
120604,30141
090100,30143
090200,30143
970100,30143
050100,30143
050200,30143
050300,30143
050400,30143
050500,30143
050600,30143
030103,30144
030220,30144
030222,30144
030223,30144
030224,30144
030226,30144
030227,30144
030228,30144
030229,30144
030310,30144
030311,30144
030313,30144
030601,30144
960200,30145
960300,30145
961000,30145
000100,30145
000700,30145
001701,30147
001800,30147
002000,30147
010200,30147
970100,30148
050100,30148
050600,30148
000300,30149
030101,30152
030214,30152
030215,30152
030218,30152
030219,30152
030224,30152
030227,30152
030229,30152
030230,30152
030231,30152
030238,30152
030239,30152
010100,30153
120104,30153
120400,30153
010100,30153
010500,30153
010600,30153
010700,30153
030234,30157
030238,30157
120102,30157
120202,30157
120203,30157
120204,30157
120302,30157
120303,30157
120400,30157
120501,30157
120502,30157
120605,30157
961000,30161
000100,30161
000600,30161
000700,30161
000800,30161
000900,30161
001100,30161
001600,30161
001702,30161
001800,30161
002000,30161
002100,30161
100800,30164
955701,30165
010600,30165
000201,30165
000202,30165
000300,30165
000400,30165
000500,30165
001100,30165
001200,30165
001300,30165
001400,30165
031306,30168
031308,30168
031309,30168
031310,30168
031311,30168
031408,30168
031409,30168
080102,30168
080103,30168
910900,30170
911200,30170
970200,30170
960101,30171
960102,30171
970900,30171
001701,30173
001702,30173
001800,30173
010200,30173
080400,30175
080500,30175
050100,30175
050200,30175
050300,30175
050400,30175
010200,30176
010302,30176
010400,30176
050600,30177
961000,30178
120104,30178
010100,30178
910103,30179
910200,30179
010100,30179
010301,30179
010400,30179
120400,30179
910101,30180
910103,30180
910104,30180
910200,30180
910702,30180
080402,30180
080403,30180
080404,30180
120400,30180
120605,30180
910300,30182
910400,30182
010400,30182
960101,30183
090200,30183
050400,30183
960102,30184
960402,30184
960700,30184
090200,30184
090300,30184
910701,30185
910800,30185
080402,30185
080402,30187
080403,30187
080404,30187
080505,30187
080506,30187
090701,30188
090702,30188
090802,30188
090803,30188
090804,30188
090901,30188
090902,30188
090904,30188
090905,30188
091001,30188
030310,30188
030324,30188
091003,30189
091005,30189
091006,30189
091007,30189
091008,30189
091101,30189
091102,30189
970100,30204
970200,30204
970300,30204
050101,30204
050200,30204
010100,30204
140501,30205
140502,30205
160600,30205
010100,30206
010200,30206
010300,30206
010400,30206
010301,30213
010400,30213
010510,30213
010513,30213
010514,30213
010515,30213
140101,30214
140102,30214
140204,30214
140206,30214
140304,30214
140305,30214
140403,30214
140404,30214
140405,30214
140406,30214
140407,30214
040608,30215
140304,30215
140305,30215
140307,30215
140404,30215
140405,30215
140407,30215
140408,30215
140501,30215
140502,30215
150100,30216
150200,30216
970100,30217
970200,30217
970300,30217
960202,30217
970700,30218
970800,30218
170801,30220
170802,30220
970700,30220
970600,30222
970700,30222
970800,30222
160100,30223
160200,30223
160300,30223
160400,30223
160500,30223
160600,30223
160700,30223
160800,30223
160900,30223
161000,30223
161100,30223
161200,30223
970100,30224
010100,30224
160200,30224
160600,30224
160700,30224
160900,30224
161000,30224
161100,30224
161200,30224
040606,30228
040608,30228
040621,30228
070305,30228
070306,30228
070501,30228
070502,30228
160100,30228
170801,30230
970100,30230
970700,30230
960100,30230
960201,30230
960502,30230
150100,30233
150200,30233
150300,30233
070402,30233
970100,30233
050101,30233
100800,30233
150300,30234
070403,30234
040202,30236
040412,30236
040414,30236
040415,30236
040416,30236
040417,30236
040524,30236
040606,30236
040609,30236
040611,30236
040612,30236
040613,30236
040614,30236
040615,30236
040616,30236
040619,30236
040620,30236
070104,30236
040516,30238
040518,30238
040525,30238
040526,30238
040612,30238
040619,30238
040620,30238
040621,30238
040622,30238
140102,30238
140406,30238
960201,30240
960202,30240
960300,30240
960400,30240
960600,30240
960700,30240
960800,30240
960901,30240
960902,30240
961000,30240
960100,30241
960201,30241
960400,30241
960501,30241
960502,30241
960600,30241
960700,30241
961100,30241
150300,30248
070402,30248
070403,30248
070404,30248
070502,30248
160200,30248
040606,30250
970700,30251
070202,30252
070203,30252
070204,30252
070205,30252
070304,30252
070307,30252
070402,30252
070403,30252
070404,30252
060405,30252
070205,30253
070304,30253
070305,30253
070306,30253
070307,30253
070309,30253
070310,30253
070311,30253
070404,30253
070502,30253
010400,30256
010202,30256
970100,30257
010100,30257
010300,30258
010400,30258
010202,30258
010300,30258
170802,30259
040307,30260
040308,30260
040407,30260
040408,30260
040409,30260
040412,30260
040413,30260
040416,30260
040417,30260
040616,30260
170100,30263
170200,30263
170303,30263
170304,30263
170305,30263
170403,30263
170501,30263
170601,30263
170603,30263
170700,30263
170801,30263
170802,30263
970100,30263
170304,30265
170305,30265
170306,30265
170402,30265
170403,30265
170404,30265
170405,30265
170406,30265
170602,30265
170603,30265
170303,30268
170402,30268
170403,30268
010400,30268
010510,30268
010514,30268
140206,30269
140207,30269
140208,30269
140303,30269
140304,30269
140306,30269
140307,30269
040411,30273
040413,30273
040616,30273
070106,30273
070108,30273
070109,30273
040415,30274
040510,30274
040512,30274
040513,30274
040514,30274
040515,30274
040516,30274
040518,30274
040519,30274
040521,30274
040522,30274
040523,30274
040524,30274
040611,30274
170100,30275
170501,30276
170502,30276
170503,30276
140307,30276
140502,30276
970700,30276
170402,30277
170404,30277
170405,30277
170406,30277
170501,30277
170603,30277
170802,30277
040616,30281
040617,30281
070104,30281
070106,30281
070107,30281
070108,30281
070109,30281
070110,30281
070111,30281
070113,30281
070114,30281
070204,30281
070205,30281
070305,30281
070309,30281
060403,30281
060405,30281
160100,30284
970300,30285
010400,30285
010100,30285
010100,30286
010201,30286
010202,30286
010300,30286
010400,30286
010500,30286
010600,30286
040303,30288
040410,30288
023423,30288
023424,30288
170501,30289
140203,30290
140204,30290
140206,30290
140208,30290
010510,30291
010511,30291
010512,30291
010513,30291
010515,30291
010100,30292
010200,30292
010300,30292
160600,30292
160700,30292
161200,30292
970500,30293
970600,30293
970800,30293
040407,30294
040409,30294
040410,30294
040411,30294
023419,30294
023422,30294
023423,30294
023424,30294
070107,30294
070108,30294
060403,30294
970100,30295
