ZIPCODE,RACE: Non-White alone: Total population -- (Estimate)_DENSITY,LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Population 5 years and over -- (Estimate)_DENSITY,"LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Speak English less than ""very well"": Population 5 years and over -- (Estimate)_DENSITY",POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Income in the past 12 months below poverty level: Population for whom poverty status is determined -- (Estimate)_DENSITY,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households -- (Estimate)_DENSITY,OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Service occupations: Healthcare support occupations: Civilian employed population 16 years and over with earnings -- (Estimate)_DENSITY,ALLOCATION OF MORTGAGE STATUS: Allocated: Owner-occupied housing units -- (Estimate)_DENSITY,RACE: Non-White alone: Total population -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Population 5 years and over -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,"LANGUAGE SPOKEN AT HOME FOR THE POPULATION 5 YEARS AND OVER: Spanish: Speak English less than ""very well"": Population 5 years and over -- (Estimate)_POP_DENS_PERCENTILE_DENSITY",POVERTY STATUS IN THE PAST 12 MONTHS BY SEX BY AGE: Income in the past 12 months below poverty level: Population for whom poverty status is determined -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,RECEIPT OF FOOD STAMPS/SNAP IN THE PAST 12 MONTHS BY POVERTY STATUS IN THE PAST 12 MONTHS FOR HOUSEHOLDS: Household received Food Stamps/SNAP in the past 12 months: Households -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,OCCUPATION BY MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) FOR THE CIVILIAN EMPLOYED POPULATION 16 YEARS AND OVER: Service occupations: Healthcare support occupations: Civilian employed population 16 years and over with earnings -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,ALLOCATION OF MORTGAGE STATUS: Allocated: Owner-occupied housing units -- (Estimate)_POP_DENS_PERCENTILE_DENSITY,ad_score,ad_score_scaled
30002,0.4927787406123628,0.03843689942344651,0.006833226564168268,0.23878297708453688,0.20679530201342283,0.0,0.005676442762535478,71.80385288966725,50.26269702276708,30.122591943957968,67.77583187390543,65.67425569176882,24.16812609457093,6.479859894921191,316.2872154115587,0.41199226305609277
30004,0.25183817300850475,0.08676612214489487,0.03336180110115749,0.06129502253244333,0.029798030046761518,0.3082186182820181,0.021890086634481845,37.65323992994746,80.03502626970227,76.35726795096322,5.42907180385289,3.502626970227671,47.11033274956217,36.60245183887916,286.6900175131348,0.35751128304319774
30005,0.393648637174153,0.07144475663917339,0.023429710867397806,0.05438779197041508,0.042537211525331145,0.24654572749870826,0.02452886628776548,61.646234676007005,72.50437828371278,64.09807355516638,2.626970227670753,5.954465849387041,39.754816112084065,43.78283712784589,290.3677758318739,0.36428110896196003
30008,0.6453498723959878,0.31821982121036724,0.14586147019100906,0.26826472803484297,0.1998659902364315,0.37417705623822767,0.008676389145283367,86.69001751313485,97.72329246935202,96.32224168126095,76.18213660245183,61.996497373029776,54.290718038528894,9.457092819614711,482.6619964973731,0.7182462927143778
30009,0.33256524302020257,0.13020713463751438,0.07341772151898734,0.08891884605014828,0.040581625908790483,0.17547291388594835,0.00583941605839416,53.765323992994745,90.19264448336253,91.76882661996497,12.259194395796847,5.604203152364273,33.97548161120841,6.830122591943958,294.3957968476357,0.37169568020631844
30011,0.19417291449179083,0.063558001869353,0.018381971128881503,0.1865501519756839,0.14328627215379994,0.11320430644796114,0.03445512820512821,28.021015761821367,68.82661996497373,59.19439579684764,46.05954465849387,36.952714535901926,29.24693520140105,65.14886164623468,333.45008756567427,0.4435847840103158
30012,0.5260019157680067,0.1340909090909091,0.09705882352941177,0.2503408262261818,0.17380261248185777,0.26368565232279423,0.021127905086949457,77.5831873905429,90.54290718038528,93.52014010507881,71.80385288966725,49.56217162872154,41.68126094570928,34.67600700525394,459.36952714535903,0.6753707285622177
30013,0.7290999737601679,0.07789885442861134,0.04889633975970942,0.16667541603233765,0.14025856885147325,0.5442458980612468,0.030901486988847583,91.06830122591944,76.70753064798599,85.81436077057793,37.828371278458846,35.72679509632224,71.2784588441331,58.66900175131349,457.092819614711,0.6711798839458412
30014,0.3894061285365633,0.029789303079416532,0.010437601296596434,0.22467280659234126,0.25138995808741765,0.635678729167175,0.043930965625445725,60.94570928196147,41.85639229422067,43.08231173380035,63.74781085814361,81.26094570928196,78.28371278458845,76.18213660245183,445.3590192644483,0.6495809155383621
30016,0.5563823190716627,0.0460734972937043,0.02354952046339379,0.14283171031315092,0.19655079493398006,0.5841483492379709,0.02046918123275069,80.38528896672504,56.56742556917688,64.44833625218914,28.546409807355516,60.245183887915935,74.08056042031524,33.09982486865149,397.3730297723292,0.5612508059316568
30017,0.4361330982481149,0.05368862180754329,0.009330275954771882,0.09686021182303012,0.07345462764154141,0.38884187831086486,0.039547233091112355,65.67425569176882,63.047285464098074,40.10507880910683,14.8861646234676,14.010507880910684,56.042031523642734,71.97898423817864,325.74430823117336,0.4294003868471952
30019,0.3053885528152629,0.11121441712330123,0.03839686653083025,0.058938620355532365,0.05735126815231212,0.6249733045164487,0.021004495427065572,47.285464098073554,87.74080560420315,79.50963222416813,4.553415061295972,9.106830122591944,77.5831873905429,34.50087565674256,340.28021015761817,0.4561573178594453
30021,0.8878892387664318,0.019857768052516413,0.002735229759299781,0.4324729891956783,0.40808214640609475,0.6499482756616647,0.012845849802371542,96.32224168126095,26.09457092819615,17.162872154115586,97.54816112084063,98.9492119089317,79.33450087565674,14.8861646234676,430.2977232924694,0.6218568665377175
30022,0.31973810563072896,0.06249537208441318,0.01599407626804887,0.04233627699571566,0.030385078219013237,0.0,0.021838286109191432,50.96322241681261,67.95096322241682,54.640980735551665,1.7513134851138354,3.677758318739054,24.16812609457093,36.25218914185639,239.4045534150613,0.2704706640876853
30024,0.33625158391890336,0.07100761626078514,0.018719319595804904,0.06310773143569126,0.029769392033542976,0.07910546312633276,0.020898955052247387,54.99124343257443,71.97898423817864,59.719789842381786,6.129597197898423,3.327495621716287,26.619964973730298,34.32574430823117,257.09281961471106,0.303030303030303
30025,0.19946245316826844,0.02721030042918455,0.007467811158798283,0.0832169555573811,0.07683406618838232,0.6772628988519753,0.022552098201541537,29.071803852889666,36.77758318739054,32.22416812609457,10.85814360770578,15.236427320490368,80.56042031523643,38.879159369527144,243.60770577933448,0.27820760799484195
30028,0.0714567281849131,0.09421602250394975,0.04134715425224462,0.09525528995450278,0.060612838291210024,0.2757580412538297,0.03661599471249174,9.982486865148863,83.36252189141857,82.13660245183888,14.185639229422067,10.157618213660244,42.38178633975482,68.65148861646234,310.8581436077058,0.4019987105093488
30030,0.3369804726084644,0.028699326444379367,0.009162029870727523,0.1475738065326633,0.10794645400170891,0.0,0.00555643752976663,55.3415061295972,39.229422066549915,39.05429071803853,29.59719789842382,24.16812609457093,24.16812609457093,5.779334500875657,217.338003502627,0.22985170857511283
